unit,headcount,payroll,median,mean,headcount_share,payroll_share
Hospitals,10547,645656265.0,57845.0,61217.05366454916,0.3990541051835036,0.31326627323827044
College of Medicine,2695,464109731.97,99478.0,172211.4033283859,0.10196746121831253,0.22518162370476572
Healthcare,1540,144924743.0,83768.0,94106.97597402598,0.058267120696178586,0.07031610564426898
"College of Ag, Food and Environment",2107,127284361.15,50200.0,60410.23310393925,0.07972001513431706,0.06175716030413582
Ambulatory Clinics,1329,80946041.0,53560.0,60907.48006019564,0.050283768444948924,0.03927424850041879
Research Administration,985,71083314.0,66816.0,72165.80101522843,0.03726825576995838,0.03448894725153139
College of Arts and Sciences,687,60738530.79,83193.0,88411.25296943232,0.025993189557321227,0.029469756918646554
College of Engineering,448,43198148.75,85992.0,96424.43917410714,0.016950435111615588,0.02095933053434392
UK Athletics,945,42134530.0,5850.0,44586.804232804236,0.03575482406356413,0.020443272842316652
Physical Plant,714,39812758.0,48131.0,55760.16526610644,0.027014755959137344,0.01931677117079804
College of Business & Economics,218,28746908.0,106109.0,131866.5504587156,0.008248202799848657,0.013947726095840522
President,402,27107955.89,57264.5,67432.72609452736,0.015209988649262202,0.013152522134618679
Finance Administration,338,26823963.0,60589.5,79360.83727810651,0.012788497919031404,0.013014731487955525
College of Dentistry,315,24467325.67,60424.0,77674.04974603176,0.01191827468785471,0.011871313490233026
College of Public Health,236,20912597.92,75645.0,88612.70305084747,0.008929247067726069,0.010146593426347078
Information and Technology Services (ITS),230,19669461.0,74905.0,85519.39565217392,0.00870223231176693,0.009543435227218781
College of Education,248,18565890.0,74491.625,74862.45967741935,0.009383276579644344,0.009007993083830252
President's Office,167,17307504.0,70000.0,103637.74850299401,0.006318577374195989,0.00839743617625465
College of Health Sciences,189,15854983.14,79061.0,83888.79968253968,0.007150964812712826,0.007692686882738467
College of Pharmacy,149,15611928.33,74134.0,104778.04248322148,0.005637533106318577,0.0075747590027676346
College of Nursing,216,15320098.57,61625.0,70926.38226851852,0.008172531214528945,0.007433165981386174
College of Fine Arts,216,12520105.25,58015.25,57963.45023148148,0.008172531214528945,0.006074635877990597
Human Resources,171,12264892.0,58885.0,71724.51461988305,0.006469920544835414,0.005950808838678081
Police,193,11802714.0,49275.0,61153.9585492228,0.007302307983352251,0.005726564472935394
College of Communication and Information,177,11778333.0,65649.75,66544.25423728813,0.006696935300794552,0.005714735043838439
College of Social Work,304,11718071.25,17280.0,38546.28700657895,0.011502080968596291,0.005685496616420227
Administration,155,9549937.0,52520.0,61612.49677419355,0.005864547862277715,0.0046335385185959106
UK Libraries,129,8656495.0,64000.0,67104.61240310078,0.004880817253121453,0.004200048965614423
College of Law,82,7381441.25,73250.0,90017.5762195122,0.0031025349981082103,0.0035814050244130143
"Provost Administration/Support, Other",61,7238236.0,72320.0,118659.60655737705,0.0023079833522512295,0.0035119232004030593
Academic Excellence,77,5482224.0,63500.0,71197.71428571429,0.0029133560348089294,0.0026599228949438043
College of Design,72,5357047.25,75159.75,74403.43402777778,0.002724177071509648,0.0025991883275055423
Graduate School,61,5141155.75,70909.0,84281.2418032787,0.0023079833522512295,0.002494439826956539
Lewis Honors College,27,1878518.5,65023.5,69574.75925925926,0.0010215664018161181,0.0009114392930178505
