department,headcount,median,p10,p90,ratio_p90_p10
Neurosurgery,37,82400.0,53512.0,952997.0,17.809033487815817
Orthopaedic Surgery,48,488016.5,63450.600000000006,836956.2000000003,13.190674319864591
Mens Sports,66,116000.0,41157.0,500000.0,12.148601695944796
Ophthalmology & Visual Science,37,179506.0,67885.0,539100.2,7.94137438314797
Internal Medicine & Divisions - Cardiolo,55,350000.0,56947.600000000006,450000.0,7.902001137888163
EVPHA Administration,68,107795.5,57496.3,442410.6000000002,7.694592521605741
UK Healthcare CNO,35,78062.0,42806.0,289159.0,6.755104424613372
Womens Sports,55,95000.0,42040.0,246000.0,5.851569933396765
Pharmaceutical Sciences,60,68220.0,36296.0,205951.7,5.674225810006613
Behavioral Science,57,119600.0,47174.4,240363.6,5.095212657712658
Athletics - Administrative Support,44,67377.5,42515.0,212322.7,4.994065623897448
Neurology,77,225000.0,61428.0,304000.00000000006,4.94888324542554
Veterinary Science,45,67002.0,38466.0,189133.2,4.916892840430511
Physiology,52,68496.5,39728.0,188869.5,4.754065142972211
Family and Community Medicine,42,191583.5,55111.5,261414.7,4.743378423740961
AMB-UHS CLINICS,64,62148.5,40206.0,177606.0,4.4174003880017905
Molecular and Cellular Biochemistry,48,80230.5,43823.8,190933.50000000003,4.356844910756256
Spinal Cord & Brain Injury Res,56,58167.5,36400.0,157450.0,4.325549450549451
"Microbiology, Immunology & Molecular Gen",59,61800.0,36732.8,158447.20000000004,4.313507274152801
Funds Flow Anesthesiology,120,254987.0,61578.4,254987.0,4.140851337481974
Command Center,37,76107.0,35922.0,145998.0,4.064305996325372
Division of OMFS,34,53716.0,38688.0,157103.0,4.060768196856906
Psychiatry,40,200000.0,80860.8,313380.0,3.8755490917725273
Dept of Pharmacology & Nutritional Scien,52,82501.5,55000.0,206655.3,3.7573690909090907
Forestry and Natural Resources,66,54510.5,29620.5,110691.5,3.736989584915852
Pediatrics - Neonatology,36,261840.0,85900.0,320750.0,3.7339930151338767
Toxicology and Cancer Biology,49,82855.0,48721.8,180200.00000000003,3.6985497251743578
College of Health Sciences,38,67109.0,46190.7,169112.2000000003,3.66117421905276
Retail Pharmacy Services,378,83369.0,43930.0,160618.0,3.6562258137946735
Dept of Epidemiology & Environ Health,34,110345.5,50091.6,180121.19999999998,3.5958364276645183
Entomology,60,51480.0,34246.4,120925.5,3.531042678938516
Pharmacy Practice & Science,46,135575.0,56442.0,199192.0,3.5291449629708374
Funds Flow Neurosurgery,34,68988.5,43057.8,151484.0,3.518154666518029
Cardiovascular Research Center,30,70603.5,46550.6,159807.80000000005,3.432991196676306
Dept Of Biostatistics,31,125145.0,65331.0,217318.0,3.3264147188930218
Veterinary Diagnostic Laboratory,63,48963.0,39170.4,128994.6,3.293165247227498
Radiation Medicine Services,34,86777.5,43367.8,141146.0,3.254626704605721
Animal and Food Sciences,78,66791.5,41589.6,135257.09999999998,3.252185642564487
ITS Networking & Infrastructure,72,61753.0,34840.0,112164.4,3.2194144661308837
Chemical & Materials Engineering,36,104470.5,56492.0,180811.875,3.200663368264533
Pharmacy,36,132233.5,49868.0,158976.0,3.1879361514398012
Athletics - Support Services,75,65000.0,41845.4,132048.80000000008,3.1556347890090684
Plant and Soil Sciences,102,56482.0,42931.2,134513.5,3.1332341048002386
Plant Pathology,36,58918.5,45395.5,142220.0,3.132909649634876
KY Geological Survey,51,62198.0,37294.0,116623.0,3.127125006703491
Sanders-Brown Ctr On Aging,98,64806.5,43147.3,133874.99999999997,3.1027433929817154
"Early Childhood, Spec Ed & Counselor Ed",38,82601.5,43160.0,132438.67500000005,3.0685513206672854
Civil Engineering,30,102790.5,57525.1,176012.625,3.0597534815237175
Office Of Philanthropy,99,74773.0,47840.0,146121.20000000007,3.054372909698998
KCH-Administration,38,65241.0,41288.0,124915.0,3.025455338112769
Agr Economics,47,93402.0,50223.6,151592.4,3.018349939072468
Chemistry,47,90951.0,48056.2,144291.0,3.0025470178665814
Ctr For Applied Energy Res,57,75174.0,48110.6,142396.8,2.9597801731842877
Pharmacy Services,309,132246.0,54371.0,160174.0,2.945945448860606
Imaging Services,94,49587.0,37394.5,107731.6,2.880947732955381
Horticulture,50,55253.0,40435.6,116482.90000000001,2.880701658934207
AMB-CARDINAL HILL,46,56773.5,37627.0,107334.0,2.852579264889574
Kentucky Transportation Center,53,92000.0,52015.6,148000.0,2.845300256077023
Funds Flow Orthopaedic Surgery,65,59323.0,47188.2,133614.4,2.8315214396819544
Psychology,43,103095.75,56507.9,159930.45,2.8302317021159875
Cancer Center-Core Support,168,70113.0,49820.1,139618.90000000002,2.802461255597641
Nursing Instruction,106,96270.83499999999,56399.0,154934.0,2.747105445132006
Electrical and Computer Engineering,38,106152.75,61313.9,168359.17500000005,2.745856567597234
Human Resources Administration,40,74297.0,44605.6,122000.0,2.73508259052675
Rural Kentucky Health Care,61,48110.0,33155.0,89254.0,2.6920223194088373
