unit,headcount,median
Research Administration,985,66816.0
College of Medicine,705,62525.0
"College of Ag, Food and Environment",326,49954.5
Hospitals,223,56722.0
College of Engineering,91,74017.0
College of Public Health,83,66492.0
College of Arts and Sciences,54,55819.0
Finance Administration,41,69424.0
College of Pharmacy,40,57247.5
President,29,83710.0
College of Health Sciences,19,85000.0
College of Education,17,61434.0
College of Dentistry,15,80122.0
College of Nursing,13,70445.0
Information and Technology Services (ITS),9,106256.0
College of Business & Economics,6,110947.0
President's Office,4,52920.0
Healthcare,3,107250.0
Administration,2,92199.5
College of Communication and Information,2,62272.375
Ambulatory Clinics,1,50814.0
Graduate School,1,74201.0
College of Social Work,1,79506.0
College of Law,1,53331.0
Academic Excellence,1,105549.0
