job_title,unit,department,salary
Assistant Coach/Football,UK Athletics,Mens Sports,1600000.0
Provost/Co-EVPHA,"Provost Administration/Support, Other",Provost,1373445.0
Athletics Director,UK Athletics,Athletics - Administrative Support,1350000.0
Assistant Coach/Football,UK Athletics,Mens Sports,1300000.0
EVPFA/Co-EVPHA,Finance Administration,EVPFA,1255233.0
Assistant Coach/Football,UK Athletics,Mens Sports,1250000.0
Clinical Faculty,College of Medicine,Surgery/Cardiothoracic,1250000.0
President,President's Office,Office Of The President,1101468.0
Univ Adv Hlthcare Innov & Growth/UKHC,Hospitals,EVPHA Administration,1100000.0
Clinical Faculty,College of Medicine,Surgery/Cardiothoracic,1100000.0
Special Faculty,College of Medicine,Neurosurgery,1074015.0
Clinical Faculty,College of Medicine,Neurosurgery,1060699.0
Clinical Faculty,College of Medicine,Orthopaedic Surgery,997108.0
Clinical Faculty,College of Medicine,Neurosurgery,964550.0
Clinical Faculty,College of Medicine,Neurosurgery,962000.0
