job_title,n_prev,med_prev,pay_prev,n_curr,med_curr,pay_curr,n_delta,med_pct,pay_pct
Temporary Professional Non-Admin,25,17400.0,694274.4,20,20631.5,613151.0,-5,0.18571839080459762,-0.11684630745422853
Security Officer Senior,20,39478.5,790464.0,24,44554.0,1055691.0,4,0.128563648568208,0.33553330701967443
Post-Doctoral Fellow,26,57090.0,1564349.0,30,61942.0,1894118.0,4,0.08498861446838335,0.21080270451158922
Medical Lab Technician/UKHC,71,44886.0,3394009.0,70,48266.5,3393605.0,-1,0.0753130151940471,-0.00011903327304085831
I/R/F Internal Medicine PGY1/UKHC,30,60779.0,1823370.0,26,64822.0,1685372.0,-4,0.06651968607578285,-0.07568293873432164
Nurse Division Charge/UKHC,26,72627.0,1816394.0,24,77114.0,1743942.0,-2,0.061781431148195676,-0.03988782169507277
Surgical Technologist/UKHC,54,52998.0,2983261.0,56,56187.0,3295523.0,2,0.06017208196535728,0.10467136465766824
Post-Doctoral Scholar,212,56484.0,11999936.0,243,59592.0,14276850.0,31,0.055024431697471954,0.18974384530050825
Clinical Faculty,1041,267400.0,303855684.99,1090,279500.0,333965573.59,49,0.045250560957367236,0.0990927275261968
Staff Support Associate II/UKHC,30,43015.5,1275785.0,29,44949.0,1266794.0,-1,0.044948913763643406,-0.007047425702606636
Customer Access Assistant/UKHC,24,36639.5,880408.0,32,38126.0,1212671.0,8,0.040570968490290626,0.37739661611434694
I/R/F Internal Medicine PGY2/UKHC,27,63059.0,1702593.0,28,65581.0,1836268.0,1,0.039994291060752696,0.0785125981370769
Student Affairs Officer III,29,60222.0,1783100.0,26,62364.0,1640010.0,-3,0.03556839693135405,-0.08024788290056639
Patient Clerical Assistant/UKHC,182,36804.0,6506400.0,155,38095.0,5703591.0,-27,0.035077708944679875,-0.1233875876060494
APP CC Pulmonary Inpatient/UKHC,24,124061.5,2987905.0,26,128299.0,3374845.0,2,0.03415644660108086,0.12950210933747885
Amb/Retail Pharmacist/UKHC,56,129864.5,7346253.0,57,134222.0,7635298.0,1,0.03355420457476832,0.03934590872380794
Radiology MRI Tech/UKHC,28,77040.0,2220371.0,28,79590.0,2269486.0,0,0.033099688473520184,0.022120177213627912
IS Technical Support Specialist II,20,49587.0,996922.0,22,51137.0,1122472.0,2,0.031258192671466345,0.12593763604374253
Post-Retirement Faculty,42,30869.0,2544484.75,53,31738.0,2986481.0,11,0.028151219670219385,0.17370756495986073
Community Health Worker,21,35797.0,777157.0,23,36754.0,877451.0,2,0.026734083861776226,0.12905243084730622
Nursing Assistant/UKHC,139,29952.0,4389767.0,122,30720.0,3921116.0,-17,0.02564102564102555,-0.10675988042189943
Patient Care Manager Assistant/UKHC,28,80891.0,2398968.0,30,82846.0,2598191.0,2,0.0241683252772249,0.08304529280924133
Mental Health Associate/UKHC,42,32329.0,1459468.0,39,33097.0,1364251.0,-3,0.02375576108138211,-0.06524089599771976
Clinical Research Coordinator I,27,55702.0,1532772.0,34,57012.5,1968716.0,7,0.023526982873146363,0.284415425125198
Cardiopulmonary Technician/UKHC,91,34407.0,3285096.0,81,35175.0,2955283.0,-10,0.022321039323393466,-0.10039676161670774
Ophthalmic Assistant/UKHC,27,35922.0,994727.0,37,36691.0,1327146.0,10,0.021407494014809902,0.33418113713611874
Security Officer,48,36400.0,1774054.0,50,37149.0,1871278.0,2,0.020576923076923048,0.054803292346230714
Academic Advisor III,20,65351.0,1354995.0,22,66662.0,1510658.0,2,0.020060901898976358,0.11488086671906528
Health Education Coordinator/UKHC,60,57255.0,3489524.0,53,58402.0,3146002.0,-7,0.02003318487468353,-0.09844379921158297
I/R/F Internal Medicine PGY3/UKHC,24,65270.0,1566480.0,28,66575.0,1864100.0,4,0.01999387161023436,0.18999285021194012
ED Access Associate/UKHC,25,38413.0,905052.0,21,39181.0,779107.0,-4,0.01999323145810017,-0.13915775005193076
Pharmacy Senior Technician II/UKHC,96,58741.5,5471742.0,97,59904.0,5660935.0,1,0.019790097290671937,0.034576374397769394
Program Manager Senior,22,78701.5,1702733.0,23,80227.0,1801066.0,1,0.0193833662636671,0.05775009939902498
Librarian,57,80039.0,4796375.0,55,81545.0,4713119.0,-2,0.01881582728419895,-0.01735810898855905
