unit,n_prev,med_prev,pay_prev,n_curr,med_curr,pay_curr,n_delta,med_pct,pay_pct
Hospitals,10547,57845.0,645656265.0,10909,57002.0,671822797.0,362,-0.014573428991269788,0.04052703182551798
Healthcare,1540,83768.0,144924743.0,1786,80000.0,165037586.0,246,-0.04498137713685413,0.13878129147346496
President,402,57264.5,27107955.89,505,58870.0,32942448.0,103,0.028036567157663228,0.21523172509485744
College of Social Work,304,17280.0,11718071.25,368,17280.0,14610752.75,64,0.0,0.24685645259240085
College of Public Health,236,75645.0,20912597.92,298,81274.0,27355468.92,62,0.07441337828012418,0.30808563453698334
College of Nursing,216,61625.0,15320098.57,251,74433.0,18344987.09,35,0.20783772819472612,0.19744576095113198
College of Medicine,2695,99478.0,464109731.97,2728,104899.5,495009447.54,33,0.054499487323830476,0.06657846936077028
Ambulatory Clinics,1329,53560.0,80946041.0,1360,54538.0,83681961.0,31,0.018259895444361574,0.033799305885756636
UK Libraries,129,64000.0,8656495.0,146,62981.0,9914997.0,17,-0.015921874999999974,0.14538239784115858
College of Health Sciences,189,79061.0,15854983.14,205,80247.0,16911432.0,16,0.015001075119211782,0.06663197624819417
Finance Administration,338,60589.5,26823963.0,354,62378.5,28840830.0,16,0.029526568134742748,0.0751890017146235
Police,193,49275.0,11802714.0,206,55192.5,13178786.0,13,0.12009132420091317,0.11658945561165002
President's Office,167,70000.0,17307504.0,177,70035.0,18439322.0,10,0.0004999999999999449,0.06539464038257625
Physical Plant,714,48131.0,39812758.0,724,48464.0,40615040.0,10,0.006918617938542759,0.02015137961554947
Information and Technology Services (ITS),230,74905.0,19669461.0,238,74578.5,20574017.0,8,-0.00435885454909557,0.04598783871098444
College of Design,72,75159.75,5357047.25,79,76287.75,5809648.75,7,0.015008032889944456,0.08448712114682211
College of Fine Arts,216,58015.25,12520105.25,219,58500.0,12972721.5,3,0.008355561684212365,0.03615115376126732
Lewis Honors College,27,65023.5,1878518.5,29,65998.5,1899251.5,2,0.01499457888301925,0.011036888910064047
College of Law,82,73250.0,7381441.25,83,72573.0,7551414.75,1,-0.009242320819112582,0.02302714256514604
College of Communication and Information,177,65649.75,11778333.0,178,66800.125,11669383.0,1,0.017522915167232256,-0.009250035637470955
Academic Excellence,77,63500.0,5482224.0,74,63736.5,5286891.0,-3,0.0037244094488189106,-0.03563024787020741
College of Pharmacy,149,74134.0,15611928.33,144,81200.25,15634155.84,-5,0.09531726333396273,0.0014237517320194737
Administration,155,52520.0,9549937.0,150,54948.5,9834593.0,-5,0.04623952779893381,0.029807107628039953
College of Arts and Sciences,687,83193.0,60738530.79,682,85243.625,61178981.54,-5,0.02464900893103983,0.007251587160098216
Human Resources,171,58885.0,12264892.0,163,61095.0,12088900.0,-8,0.03753078033455037,-0.014349249875172165
College of Education,248,74491.625,18565890.0,238,79170.0,18505660.75,-10,0.06280404005148221,-0.0032440809462944697
"Provost Administration/Support, Other",61,72320.0,7238236.0,47,73689.0,6513518.0,-14,0.018929756637168227,-0.10012356601801875
College of Business & Economics,218,106109.0,28746908.0,203,109311.0,28480971.5,-15,0.030176516600853853,-0.009250960138043385
Graduate School,61,70909.0,5141155.75,44,85378.375,4151598.0,-17,0.204055550071218,-0.19247768364146522
College of Engineering,448,85992.0,43198148.75,430,90063.0,43363832.0,-18,0.04734161317331842,0.003835424776160057
"College of Ag, Food and Environment",2107,50200.0,127284361.15,2086,51752.5,126881076.45,-21,0.03092629482071718,-0.0031683758818158436
UK Athletics,945,5850.0,42134530.0,917,5850.0,43438995.0,-28,0.0,0.030959524171742192
Research Administration,985,66816.0,71083314.0,851,64527.0,61573902.0,-134,-0.03425826149425293,-0.13377839980842765
College of Dentistry,315,60424.0,24467325.67,132,106856.5,14020026.67,-183,0.7684446577518866,-0.42698982066559465
